"model","time","sex","outcome","term","coefficient"
"base","10yr","female","total_cvd","age",0.7939329
"base","10yr","male","total_cvd","age",0.7688528
"base","10yr","female","ascvd","age",0.719883
"base","10yr","male","ascvd","age",0.7099847
"base","10yr","female","heart_failure","age",0.8998235
"base","10yr","male","heart_failure","age",0.8972642
"base","10yr","female","chd","age",0.7587146
"base","10yr","male","chd","age",0.7423283
"base","10yr","female","stroke","age",0.6907849
"base","10yr","male","stroke","age",0.722513
"base","10yr","female","total_cvd","non_hdl_c",0.0305239
"base","10yr","male","total_cvd","non_hdl_c",0.0736174
"base","10yr","female","ascvd","non_hdl_c",0.1176967
"base","10yr","male","ascvd","non_hdl_c",0.1658663
"base","10yr","female","heart_failure","non_hdl_c",0
"base","10yr","male","heart_failure","non_hdl_c",0
"base","10yr","female","chd","non_hdl_c",0.1810949
"base","10yr","male","chd","non_hdl_c",0.2572109
"base","10yr","female","stroke","non_hdl_c",0.0534279
"base","10yr","male","stroke","non_hdl_c",0.0263348
"base","10yr","female","total_cvd","hdl_c",-0.1606857
"base","10yr","male","total_cvd","hdl_c",-0.0954431
"base","10yr","female","ascvd","hdl_c",-0.151185
"base","10yr","male","ascvd","hdl_c",-0.1144285
"base","10yr","female","heart_failure","hdl_c",0
"base","10yr","male","heart_failure","hdl_c",0
"base","10yr","female","chd","hdl_c",-0.2014507
"base","10yr","male","chd","hdl_c",-0.1820374
"base","10yr","female","stroke","hdl_c",-0.1055109
"base","10yr","male","stroke","hdl_c",-0.0248959
"base","10yr","female","total_cvd","sbp_lt_110",-0.2394003
"base","10yr","male","total_cvd","sbp_lt_110",-0.4347345
"base","10yr","female","ascvd","sbp_lt_110",-0.0835358
"base","10yr","male","ascvd","sbp_lt_110",-0.2837212
"base","10yr","female","heart_failure","sbp_lt_110",-0.4559771
"base","10yr","male","heart_failure","sbp_lt_110",-0.6811466
"base","10yr","female","chd","sbp_lt_110",-0.0881827
"base","10yr","male","chd","sbp_lt_110",-0.3174515
"base","10yr","female","stroke","sbp_lt_110",-0.113078
"base","10yr","male","stroke","sbp_lt_110",-0.268104
"base","10yr","female","total_cvd","sbp_gte_110",0.3600781
"base","10yr","male","total_cvd","sbp_gte_110",0.3362658
"base","10yr","female","ascvd","sbp_gte_110",0.3592852
"base","10yr","male","ascvd","sbp_gte_110",0.3239977
"base","10yr","female","heart_failure","sbp_gte_110",0.3576505
"base","10yr","male","heart_failure","sbp_gte_110",0.3634461
"base","10yr","female","chd","sbp_gte_110",0.3547731
"base","10yr","male","chd","sbp_gte_110",0.312778
"base","10yr","female","stroke","sbp_gte_110",0.3665217
"base","10yr","male","stroke","sbp_gte_110",0.3474634
"base","10yr","female","total_cvd","dm",0.8667604
"base","10yr","male","total_cvd","dm",0.7692857
"base","10yr","female","ascvd","dm",0.8348585
"base","10yr","male","ascvd","dm",0.7189597
"base","10yr","female","heart_failure","dm",1.038346
"base","10yr","male","heart_failure","dm",0.923776
"base","10yr","female","chd","dm",0.9045358
"base","10yr","male","chd","dm",0.7485249
"base","10yr","female","stroke","dm",0.8013721
"base","10yr","male","stroke","dm",0.684699
"base","10yr","female","total_cvd","smoking",0.5360739
"base","10yr","male","total_cvd","smoking",0.4386871
"base","10yr","female","ascvd","smoking",0.4831078
"base","10yr","male","ascvd","smoking",0.3956973
"base","10yr","female","heart_failure","smoking",0.583916
"base","10yr","male","heart_failure","smoking",0.5023736
"base","10yr","female","chd","smoking",0.5410917
"base","10yr","male","chd","smoking",0.3912047
"base","10yr","female","stroke","smoking",0.4187039
"base","10yr","male","stroke","smoking",0.3874844
"base","10yr","female","total_cvd","bmi_lt_30",0
"base","10yr","male","total_cvd","bmi_lt_30",0
"base","10yr","female","ascvd","bmi_lt_30",0
"base","10yr","male","ascvd","bmi_lt_30",0
"base","10yr","female","heart_failure","bmi_lt_30",-0.0072294
"base","10yr","male","heart_failure","bmi_lt_30",-0.0485841
"base","10yr","female","chd","bmi_lt_30",0
"base","10yr","male","chd","bmi_lt_30",0
"base","10yr","female","stroke","bmi_lt_30",0
"base","10yr","male","stroke","bmi_lt_30",0
"base","10yr","female","total_cvd","bmi_gte_30",0
"base","10yr","male","total_cvd","bmi_gte_30",0
"base","10yr","female","ascvd","bmi_gte_30",0
"base","10yr","male","ascvd","bmi_gte_30",0
"base","10yr","female","heart_failure","bmi_gte_30",0.2997706
