"","zip","sdi_decile"
"1","01001",4
"2","01002",8
"3","01003",8
"4","01005",2
"5","01007",2
"6","01008",1
"7","01009",5
"8","01010",2
"9","01011",3
"10","01012",2
"11","01013",9
"12","01020",6
"13","01022",7
"14","01026",3
"15","01027",4
"16","01028",2
"17","01029",3
"18","01030",2
"19","01031",8
"20","01032",1
"21","01033",1
"22","01034",2
"23","01035",2
"24","01036",1
"25","01037",1
"26","01038",2
"27","01039",1
"28","01040",10
"29","01050",2
"30","01053",5
"31","01054",1
"32","01056",5
"33","01057",2
"34","01060",7
"35","01062",4
"36","01063",1
"37","01066",NA
"38","01068",1
"39","01069",4
"40","01070",2
"41","01071",1
"42","01072",3
"43","01073",1
"44","01074",7
"45","01075",4
"46","01077",3
"47","01079",2
"48","01080",8
"49","01081",1
"50","01082",6
"51","01083",4
"52","01084",2
"53","01085",4
"54","01086",1
"55","01088",5
"56","01089",7
"57","01092",4
"58","01093",1
"59","01094",5
"60","01095",1
"61","01096",2
"62","01097",9
"63","01098",2
"64","01103",10
"65","01104",10
"66","01105",10
"67","01106",1
"68","01107",10
"69","01108",10
"70","01109",10
"71","01118",7
"72","01119",8
"73","01128",2
"74","01129",6
"75","01151",10
"76","01199",NA
"77","01201",7
"78","01220",6
"79","01222",4
"80","01223",1
"81","01224",6
"82","01225",2
"83","01226",1
"84","01229",2
"85","01230",4
"86","01235",3
"87","01236",3
"88","01237",2
"89","01238",3
"90","01240",3
"91","01242",2
"92","01243",1
"93","01244",2
"94","01245",1
"95","01247",8
"96","01253",1
"97","01254",1
"98","01255",2
"99","01256",4
"100","01257",2
"101","01258",1
"102","01259",2
"103","01260",7
"104","01262",6
"105","01264",4
"106","01266",1
"107","01267",4
"108","01270",1
"109","01301",6
"110","01330",3
"111","01331",6
"112","01337",3
"113","01338",3
"114","01339",4
"115","01340",3
"116","01341",1
"117","01342",5
"118","01343",2
"119","01344",5
"120","01346",1
"121","01347",5
"122","01349",3
"123","01350",4
"124","01351",3
"125","01354",1
"126","01355",2
"127","01360",2
"128","01364",5
"129","01366",1
"130","01367",4
"131","01368",2
"132","01370",5
"133","01373",2
"134","01375",5
"135","01376",7
"136","01378",1
"137","01379",3
"138","01420",9
"139","01430",1
"140","01431",1
"141","01432",3
"142","01434",6
"143","01436",2
"144","01438",5
"145","01440",8
"146","01450",1
"147","01451",1
"148","01452",1
"149","01453",7
"150","01460",1
"151","01462",2
"152","01463",1
"153","01464",3
"154","01467",1
"155","01468",1
"156","01469",1
"157","01473",1
"158","01474",1
"159","01475",5
"160","01501",1
"161","01503",1
"162","01504",2
"163","01505",1
"164","01506",1
"165","01507",2
"166","01510",6
"167","01515",2
"168","01516",1
"169","01518",3
"170","01519",1
"171","01520",1
"172","01521",2
"173","01522",2
"174","01523",4
"175","01524",3
"176","01525",8
"177","01527",3
"178","01529",3
"179","01531",3
"180","01532",1
"181","01534",2
"182","01535",2
"183","01536",2
"184","01537",5
"185","01540",2
"186","01541",1
"187","01542",3
"188","01543",1
"189","01545",2
"190","01550",10
"191","01560",3
"192","01561",2
"193","01562",4
"194","01564",1
"195","01566",2
"196","01568",1
"197","01569",3
"198","01570",7
"199","01571",4
"200","01581",3
"201","01583",3
"202","01585",3
"203","01588",4
"204","01590",1
"205","01602",5
"206","01603",9
"207","01604",9
"208","01605",10
"209","01606",6
"210","01607",9
"211","01608",10
"212","01609",9
"213","01610",10
"214","01611",2
"215","01612",1
"216","01701",2
"217","01702",8
"218","01718",2
"219","01719",2
"220","01720",1
"221","01721",1
"222","01730",2
